iter	Passed	Remaining
0	0	930
1	2	1063
2	2	972
3	3	934
4	4	878
5	5	849
6	5	820
7	6	800
8	7	784
9	7	770
10	8	763
11	9	743
12	9	736
13	10	731
14	11	758
15	12	763
16	13	760
17	13	754
18	14	749
19	15	747
20	15	742
21	16	737
22	17	732
23	18	734
24	19	748
25	20	763
26	21	764
27	22	766
28	22	767
29	23	773
30	24	769
31	25	763
32	26	769
33	27	768
34	27	764
35	28	758
36	28	754
37	29	750
38	30	746
39	30	743
40	31	740
41	32	737
42	32	734
43	34	739
44	35	744
45	35	744
46	36	741
47	37	738
48	37	735
49	38	732
50	39	729
51	39	727
52	40	726
53	41	730
54	42	726
55	42	724
56	43	722
57	44	720
58	45	718
59	45	719
60	46	717
61	47	715
62	47	711
63	48	713
64	49	715
65	51	722
66	52	726
67	53	726
68	53	728
69	54	726
70	55	725
71	56	731
72	57	728
73	58	727
74	58	725
75	59	723
76	60	721
77	60	719
78	61	716
79	62	716
80	63	717
81	64	723
82	65	726
83	66	725
84	67	728
85	68	727
86	69	726
87	69	724
88	70	725
89	71	726
90	72	724
91	73	722
92	73	721
93	74	719
94	75	717
95	75	715
96	76	713
97	77	711
98	78	712
99	78	709
100	80	713
101	81	714
102	82	719
103	83	718
104	84	720
105	85	723
106	86	722
107	87	720
108	87	718
109	88	719
110	90	722
111	91	722
112	92	723
113	93	725
114	94	726
115	95	726
116	95	724
117	96	722
118	97	720
119	98	719
120	98	718
121	99	717
122	100	716
123	101	715
124	102	714
125	102	712
126	103	710
127	104	708
128	105	709
129	106	710
130	107	714
131	108	716
132	109	715
133	110	714
134	111	712
135	111	710
136	112	708
137	113	707
138	113	705
139	114	705
140	115	706
141	116	704
142	117	703
143	118	701
144	118	699
145	119	699
146	120	700
147	121	700
148	122	700
149	123	701
150	124	700
151	125	700
152	126	698
153	126	697
154	127	695
155	128	694
156	129	692
157	130	693
158	130	692
159	131	690
160	132	689
161	132	687
162	133	686
163	134	684
164	135	685
165	136	686
166	137	687
167	139	688
168	139	687
169	140	687
170	141	685
171	142	684
172	142	683
173	143	681
174	144	681
175	145	682
176	146	680
177	147	679
178	147	677
179	148	676
180	149	674
181	149	673
182	150	673
183	152	674
184	153	675
185	154	675
186	155	675
187	156	676
188	157	674
189	157	673
190	158	672
191	159	672
192	160	672
193	161	670
194	162	669
195	162	667
196	163	666
197	164	665
198	165	664
199	166	665
200	167	666
201	168	666
202	169	665
203	170	664
204	171	663
205	171	662
206	172	661
207	173	659
208	174	659
209	175	659
210	176	658
211	176	656
212	177	655
213	177	653
214	178	652
215	179	650
216	180	649
217	180	648
218	182	650
219	183	650
220	184	650
221	185	649
222	186	649
223	186	647
224	187	646
225	188	644
226	189	644
227	190	644
228	191	643
229	191	642
230	192	640
231	193	639
232	193	638
233	194	636
234	195	635
235	196	634
236	197	635
237	198	634
238	199	633
239	200	633
240	200	632
241	201	631
242	202	630
243	203	629
244	204	629
245	205	628
246	205	627
247	206	626
248	207	624
249	207	623
250	208	622
251	209	621
252	209	619
253	210	618
254	212	620
255	213	619
256	214	619
257	215	618
258	216	618
259	216	617
260	217	616
261	218	615
262	219	615
263	220	614
264	221	613
265	221	611
266	222	610
267	223	609
268	223	608
269	224	606
270	225	605
271	225	604
272	226	604
273	228	604
274	229	604
275	230	603
276	231	603
277	232	602
278	232	601
279	233	600
280	234	600
281	235	599
282	236	597
283	236	596
284	237	595
285	238	594
286	238	593
287	239	592
288	240	590
289	241	590
290	242	589
291	243	589
292	243	588
293	244	587
294	245	586
295	246	585
296	247	585
297	248	585
298	249	585
299	250	584
300	250	582
301	251	581
302	252	580
303	253	579
304	253	578
305	254	576
306	255	575
307	256	575
308	256	574
309	257	574
310	259	574
311	260	573
312	260	572
313	261	571
314	262	571
315	263	570
316	264	569
317	264	568
318	265	566
319	266	565
320	266	564
321	267	563
322	268	563
323	270	563
324	271	563
325	272	563
326	273	562
327	275	563
328	276	564
329	279	566
330	280	566
331	281	566
332	283	567
333	284	567
334	285	567
335	287	568
336	289	568
337	290	568
338	291	569
339	293	569
340	294	570
341	296	570
342	298	571
343	299	571
344	301	571
345	302	571
346	303	571
347	304	571
348	305	570
349	307	571
350	308	571
351	310	570
352	311	570
353	312	569
354	312	568
355	313	567
356	315	567
357	316	566
358	317	566
359	318	565
360	319	564
361	319	563
362	320	563
363	321	562
364	322	561
365	324	561
366	325	560
367	326	559
368	327	559
369	328	558
370	329	558
371	330	557
372	331	556
373	332	556
374	333	555
375	334	555
376	335	554
377	336	553
378	337	553
379	338	551
380	339	551
381	340	550
382	341	550
383	342	549
384	343	548
385	344	548
386	345	547
387	346	546
388	346	544
389	347	543
390	348	543
391	349	542
392	350	540
393	350	539
394	351	538
395	352	537
396	353	536
397	354	536
398	355	535
399	356	534
400	356	533
401	357	532
402	358	531
403	359	530
404	360	529
405	361	528
406	362	527
407	363	527
408	364	526
409	364	525
410	365	524
411	367	523
412	367	522
413	368	521
414	369	521
415	370	520
416	371	518
417	372	518
418	372	516
419	373	515
420	374	515
421	375	513
422	375	512
423	376	511
424	377	510
425	378	509
426	379	509
427	380	508
428	381	507
429	382	506
430	383	505
431	383	504
432	384	503
433	385	502
434	386	502
435	387	501
436	388	499
437	389	499
438	390	498
439	390	497
440	391	496
441	392	494
442	392	493
443	393	493
444	394	492
445	395	491
446	397	491
447	397	490
448	398	489
449	399	487
450	400	487
451	400	485
452	401	485
453	402	484
454	403	483
455	404	482
456	404	481
457	405	480
458	406	478
459	407	477
460	407	476
461	408	475
462	409	474
463	410	474
464	411	473
465	412	472
466	413	471
467	413	470
468	414	469
469	415	468
470	416	467
471	417	466
472	417	465
473	418	464
474	419	463
475	419	462
476	420	461
477	421	460
478	421	458
479	422	458
480	423	457
481	424	456
482	425	455
483	426	454
484	427	453
485	428	453
